INFO:root:Find max matching for different graphs.
INFO:root:
INFO:root:        dwt_72.mtx: iter     0, Optimal    32, Current    29
INFO:root:        dwt_72.mtx: Optimal    32, Current Best    31
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:########################################################################
INFO:root:      bcspwr10.mtx: iter 31200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31500, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31600, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31700, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31800, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 31900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32100, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32500, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32600, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32700, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32800, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 32900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33100, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33500, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33600, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33700, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33800, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 33900, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34000, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34100, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34200, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34300, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34400, Optimal  2576, Current  2540
INFO:root:      bcspwr10.mtx: iter 34500, Optimal  2576, Current  2541
